type of credit institution,сredit institution name,date of loan issue,loan amount(RUB),loan repayment amount(RUB),loan amount owed(RUB),loan status,status date
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",20-04-2019,RUB 5000,RUB 5680,RUB 0,Счет закрыт,20-04-2019
Микрокредит,"ООО МФК """"Займер""""""",20-04-2019,RUB 5500,RUB 5582,RUB 0,Счет закрыт,20-04-2019
Микрокредит,"ООО МФК """"Займер""""""",20-04-2019,RUB 6500,RUB 7377,RUB 0,Счет закрыт,29-04-2019
Микрокредит,"МФК """"Лайм-Займ"""" (ООО)""",19-04-2019,RUB 5000,RUB 5675,RUB 0,Счет закрыт,20-04-2019
Микрокредит,"ООО МФК """"Займер""""""",16-04-2019,RUB 7000,RUB 7105,RUB 0,Счет закрыт,16-04-2019
Микрокредит,"МФК """"Лайм-Займ"""" (ООО)""",16-04-2019,RUB 6700,RUB 7504,RUB 0,Счет закрыт,16-04-2019
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",15-04-2019,RUB 6500,RUB 7292,RUB 0,Счет закрыт,16-04-2019
Микрокредит,"МФК """"Лайм-Займ"""" (ООО)""",14-04-2019,RUB 11500,RUB 13052,RUB 0,Счет закрыт,15-04-2019
Микрокредит,"ООО МКК """"СМСФИНАНС""""""",14-04-2019,RUB 4500,RUB 5142,RUB 0,Счет закрыт,15-04-2019
Микрокредит,"ООО МФК """"Займер""""""",13-04-2019,RUB 4500,RUB 4567,RUB 0,Счет закрыт,13-04-2019
Микрокредит,"ООО МФК """"Займер""""""",13-04-2019,RUB 7000,RUB 7210,RUB 0,Счет закрыт,15-04-2019
Микрокредит,"МФК """"Лайм-Займ"""" (ООО)""",13-04-2019,RUB 7000,RUB 7840,RUB 0,Счет закрыт,13-04-2019
Микрокредит,"ООО МФК """"Займер""""""",11-04-2019,RUB 6500,RUB 6597,RUB 0,Счет закрыт,11-04-2019
